,user,text,favorite_count,retweet_count,created_at,cleaned_tweet,polarity,subjectivity
32,elonmusk,So true https://t.co/PwmxUVU2Fc,223996,20645,2022-10-16,so true,0.35,0.65
33,elonmusk,@Rainmaker1973 Every millipede has its millennia,13127,488,2022-10-16,every millipede has its millennia,0.0,0.0
34,elonmusk,@HardcoreHistory We should bring back their outfits,15333,493,2022-10-16,we should bring back their outfits,0.0,0.0
35,elonmusk,@karpathy Good thread,6594,273,2022-10-16,good thread,0.7,0.6000000000000001
36,elonmusk,Fancy a game of meme tennis? https://t.co/d9tqIlg7nB,41180,2439,2022-10-16,fancy game meme tennis,-0.4,0.4
37,elonmusk,Buy Burnt Hair from a company that digs holes!,31460,1439,2022-10-16,buy burnt hair company that digs holes,0.0,0.0
38,elonmusk,@chicago_glenn I read this as goth clowns lonely,3658,136,2022-10-16,i read this as goth clowns lonely,-0.09999999999999998,0.7
39,elonmusk,Did you hear about the dyslexic KBG agent – it’s pot secret!,91667,4932,2022-10-16,did you hear about dyslexic kbg agent it s secret,-0.4,0.7
40,elonmusk,@utamadush 🤣,1266,40,2022-10-16,,0.0,0.0
41,elonmusk,"Venn diagram intersection of those two audiences is pretty small, I guess",13217,475,2022-10-16,venn diagram intersection those two audiences is pretty small i guess,0.0,0.7
42,elonmusk,Not as popular as I’d hoped (sigh),15090,530,2022-10-16,not as popular as i d hoped sigh,0.6,0.9
43,elonmusk,"Pitching my idea once again for a crossover of Das Boot &amp; Boss Baby.

“Das Baby” – Hijinks on the high seas! https://t.co/FieRmSthp2",28999,1793,2022-10-16,pitching my idea once again crossover das boot amp boss baby das baby hijinks high seas,0.16,0.5399999999999999
44,elonmusk,"@teslaownersSV @oldmordim Just a scratch, we can buff it out",3942,179,2022-10-16,just scratch we can buff it out,0.0,0.0
45,elonmusk,@oldmordim Mostly accurate,2068,86,2022-10-16,mostly accurate,0.4000000000000001,0.6333333333333334
46,elonmusk,The comments in this thread are a conspiracy theorist’s wet dream,59595,2187,2022-10-16,comments this thread are conspiracy theorist s wet dream,-0.1,0.4
47,elonmusk,@EvaFoxU Yup,7654,283,2022-10-16,yup,0.0,0.0
48,elonmusk,@EvaFoxU 7 years ago,11298,376,2022-10-15,7 years ago,0.0,0.0
49,elonmusk,@FutureJurvetson @SpaceX Definitely one of the strangest meetings I’ve ever experienced. @adeoressi was there too.,8576,356,2022-10-15,definitely one strangest meetings i ve ever experienced was there too,0.4,0.7
50,elonmusk,@KimDotcom @Twitter I’m trying my hardest to de-escalate this situation and obviously failing,23641,1857,2022-10-15,i m trying my hardest de escalate this situation obviously failing,0.0,0.5
51,elonmusk,"@KimDotcom @Twitter Damned if you do, damned if you don’t, so … guess I’m just damned",18739,1033,2022-10-15,damned if you do damned if you don t so guess i m just damned,0.0,0.0
52,elonmusk,"@SawyerMerritt Starship &amp; next-gen Starlink satellites are key, but much risk lies ahead before those are working at scale",3687,204,2022-10-15,starship amp next gen starlink satellites are key but much risk lies ahead before those are working at scale,0.06666666666666667,0.39999999999999997
53,elonmusk,@RaheemKassam The hilarious thing is you’re not wrong 🤣,8315,438,2022-10-15,hilarious thing is you re not wrong,0.375,0.95
54,elonmusk,@EvaFoxU So it goes …,13307,244,2022-10-15,so it goes,0.0,0.0
55,elonmusk,@gainzy222 Fate loves irony,28162,721,2022-10-15,fate loves irony,0.0,0.0
56,elonmusk,"@DavidSacks Even so, we should still do good deeds",65043,2184,2022-10-15,even so we should still do good deeds,0.7,0.6000000000000001
57,elonmusk,"The hell with it … even though Starlink is still losing money &amp; other companies are getting billions of taxpayer $, we’ll just keep funding Ukraine govt for free",511173,39011,2022-10-15,with it even though starlink is still losing money amp other companies are getting billions taxpayer we ll just keep funding ukraine govt free,0.1375,0.5875
